motif_id	motif_rbps	enrichment	p_value	p_value_n	adj_p_value
M004_0.6	BRUNOL4, CELF3	0.652026877788341	0.020979020979021	1000	0.0618703330567737
M048_0.6	CIRBP, RBM3	0	0.020979020979021	1000	0.0618703330567737
M156_0.6	TIA1	1.31524762185474	0.021978021978022	1000	0.0637362637362637
M227_0.6	PTBP1, PTBP2, ROD1	1.30065384557161	0.022977022977023	1000	0.0655410163606885
M012_0.6	CPEB3, CPEB2	0.666242157489674	0.024975024975025	1000	0.0679008491508492
M051_0.6	RBM41	0.619340940726273	0.024975024975025	1000	0.0679008491508492
M154_0.6	SRSF1	0.552526940913835	0.024975024975025	1000	0.0679008491508492
M075_0.6	TIA1	1.31798535826332	0.025974025974026	1000	0.0684769775678867
M210_0.6	HNRPDL	0.454518705706565	0.025974025974026	1000	0.0684769775678867
M103_0.6	SRSF1	0.539027703152872	0.026973026973027	1000	0.0700493536314432
M102_0.6	SRSF1	0.539027703152872	0.027972027972028	1000	0.0715754833401892
783_7972035	ELAVL2	1.26897353054536	0.030969030969031	1000	0.078095817226252
M086_0.6	SRSF12, Fusip1, BX511012.1	0.553935194312954	0.032967032967033	1000	0.0819466248037677
1216_19457263	KHDRBS3	0.608098019927485	0.033966033966034	1000	0.0832407029590128
M163_0.6	IGF2BP3	0.645680243348895	0.040959040959041	1000	0.098984348984349
M149_0.6	CPEB3, CPEB4	1.26628376317889	0.042957042957043	1000	0.101007101007101
1285_19304800	ZRANB2	0.461194814357185	0.042957042957043	1000	0.101007101007101
M050_0.6	RBM4B, RBM4, RBM4	3.1051221802572	0.045954045954046	1000	0.106613386613387
M162_0.6	PABPC5	0.662809535975266	0.050949050949051	1000	0.116646511383353
M261_0.6	SF3B4	0.641569265929763	0.051948051948052	1000	0.117389104402091
M056_0.6	SRSF3	0.258518425056189	0.0589410589410589	1000	0.13148390071467
M242_0.6	HNRNPR, SYNCRIP	1.38766744041361	0.0639360639360639	1000	0.140821204112343
M077_0.6	U2AF2	1.24473908125605	0.0739260739260739	1000	0.160789210789211
359_12507992	IGF2BP1	1.51225738222245	0.0779220779220779	1000	0.167388167388167
M155_0.6	ZNF638	0.652523148791462	0.0789210789210789	1000	0.167466679661802
M031_0.6	ELAVL1, ELAVL3	1.21912272623524	0.0799200799200799	1000	0.167543300073421
M195_0.6	SF3B4	1.30544944030733	0.0869130869130869	1000	0.180034251462823
M169_0.6	hnRNPLL	0.706350121558393	0.0919080919080919	1000	0.188141270494212
950_7908267	PABPC1	0.350698209909347	0.0949050949050949	1000	0.192017285040541
M104_0.6	SRSF1	1.29729980605251	0.0979020979020979	1000	0.193579148124603
1213_8021254	ACO1	1.30458725854744	0.0979020979020979	1000	0.193579148124603
M052_0.6	RBM46, RBM47	0.636256512152854	0.103896103896104	1000	0.203122719976653
M160_0.6	KHDRBS1	0.779731977132654	0.107892107892108	1000	0.208591408591409
1174_19561594	KHDRBS3	0.659047552625218	0.113886113886114	1000	0.217760261716306
M079_0.6	CELF3	0.716223177614688	0.117882117882118	1000	0.222950962081397
M158_0.6	HNRNPCL1	1.19858057755527	0.120879120879121	1000	0.226160935838355
244_7543047	SFRS2	0.568599423066806	0.122877122877123	1000	0.226336163836164
M055_0.6	RBMS2, RBMS3, ENSG00000213250	0.651163055267825	0.123876123876124	1000	0.226336163836164
M142_0.6	RBM42	0.50879721903489	0.124875124875125	1000	0.226336163836164
M205_0.6	SF3B4	1.31324373382645	0.127872127872128	1000	0.229378868554126
M016_0.6	FMR1	1.30037342284614	0.130869130869131	1000	0.229450549450549
M025_0.6	HNRNPC	1.19858057755527	0.131868131868132	1000	0.229450549450549
M122_0.6	MEX3C, MEX3D, MEX3B	0.691084898522174	0.131868131868132	1000	0.229450549450549
948_10094314	SNRPA	1.34142052391038	0.138861138861139	1000	0.239226120414239
M236_0.6	HNRNPR, SYNCRIP	0.763123867981084	0.151848151848152	1000	0.259035082564494
M043_0.6	PCBP4, PCBP3, PCBP2	1.26619909650785	0.168831168831169	1000	0.285209935695373
M002_0.6	ANKHD1, ANKRD17, ENSG00000249536	1.61289377497815	0.173826173826174	1000	0.290824560055329
M035_0.6	LIN28A, LIN28B	0.732381981344588	0.191808191808192	1000	0.317853574996432
M243_0.6	HNRNPR, SYNCRIP	1.18857769595565	0.194805194805195	1000	0.319774565057584
M001_0.6	A1CF	0.743819590372243	0.198801198801199	1000	0.323284192443071
M209_0.6	RBM45	1.82640849913184	0.202797202797203	1000	0.326728826728827
M124_0.6	ELAVL3	0.825009128237609	0.20979020979021	1000	0.333430206157479
M211_0.6	PCBP4, PCBP3	1.23404756618745	0.210789210789211	1000	0.333430206157479
M106_0.6	SRSF1	1.21886659737014	0.212787212787213	1000	0.333558333558334
M105_0.6	SRSF1	1.21337864111884	0.216783216783217	1000	0.336788211788212
M042_0.6	PABPC4, PABPC1L, ENSG00000250177	0.825753693403498	0.226773226773227	1000	0.349190632376473
M228_0.6	PTBP1, PTBP2, ROD1	0.836395543612124	0.236763236763237	1000	0.361375466638625
M126_0.6	SRSF4, SRSF6	1.21796297095653	0.254745254745255	1000	0.385440646310211
M068_0.6	SNRNP70	0.760864035614504	0.257742257742258	1000	0.386613386613387
M036_0.6	MATR3	0.784874282335822	0.272727272727273	1000	0.405594405594406
M074_0.6	TARDBP	0.773930493728198	0.304695304695305	1000	0.449296466245619
M070_0.6	SRSF2, ENSG00000180771	0.834108132763741	0.323676323676324	1000	0.473274624535129
M065_0.6	SRSF9	1.18387124736092	0.342657342657343	1000	0.496853146853147
M019_0.6	SRSF12, Fusip1, BX511012.1	0.847668232336621	0.350649350649351	1000	0.504239562090802
947_10094314	SNRPA	1.18822088712102	0.370629370629371	1000	0.528602544995988
149_16041388	QKI	0.744152992250492	0.385614385614386	1000	0.544931259216973
M088_0.6	SRSF12, Fusip1, BX511012.1	0.848042013133242	0.388611388611389	1000	0.544931259216973
M176_0.6	KHDRBS2	1.11503767484196	0.392607392607393	1000	0.544931259216973
M168_0.6	SFPQ, PSPC1	1.16054007262451	0.394605394605395	1000	0.544931259216973
M151_0.6	HNRNPH2, HNRNPH1, HNRNPF	0.830310240415527	0.402597402597403	1000	0.547080826150594
1171_19561594	PTBP1	0.901683188606657	0.405594405594406	1000	0.547080826150594
242_7543047	SFRS1	1.14832920557914	0.405594405594406	1000	0.547080826150594
350_8846295	EIF4B	0.833622401885607	0.410589410589411	1000	0.549558134173519
680_9789075	NOVA2	1.19897019399438	0.418581418581419	1000	0.555978372772266
M072_0.6	SRSF9	0.872796981886014	0.436563436563437	1000	0.572069721323453
M141_0.6	ESRP2, ESRP1	1.12327829885714	0.440559440559441	1000	0.572069721323453
M201_0.6	SF3B4	1.0989139121304	0.440559440559441	1000	0.572069721323453
M118_0.6	RBFOX2, RBFOX3	1.14447960106541	0.448551448551449	1000	0.577716401245813
952_7543047	SFRS1	1.16749845215785	0.451548451548452	1000	0.577716401245813
M178_0.6	BRUNOL6, CELF3	0.885970948552373	0.467532467532468	1000	0.593800360223718
1175_19561594	SNRPA	1.15828278537966	0.494505494505495	1000	0.623506927854754
791_10094314	SFRS2	0.856481580282284	0.498501498501498	1000	0.624023458555833
M082_0.6	YBX2, CSDA	1.15903750747755	0.519480519480519	1000	0.645640074211503
M250_0.6	CSDA	1.13185910419958	0.55044955044955	1000	0.675202348671736
M188_0.6	PCBP4, PCBP3	1.08315943831315	0.556443556443556	1000	0.675202348671736
M254_0.6	CSDA	1.13185910419958	0.563436563436563	1000	0.675202348671736
M164_0.6	RBMS2, RBMS3, ENSG00000213250	0.894734039344547	0.567432567432567	1000	0.675202348671736
M231_0.6	EIF2S1	1.12038396213615	0.568431568431568	1000	0.675202348671736
M017_0.6	RBFOX2, RBFOX3	1.12038396213615	0.569430569430569	1000	0.675202348671736
953_7543047	SFRS2	1.08793324302336	0.57042957042957	1000	0.675202348671736
M081_0.6	CSDA, YB-1	1.1365430947875	0.574425574425574	1000	0.675338175338175
M159_0.6	A2BP1, RBFOX2, RBFOX3	1.12038396213615	0.58041958041958	1000	0.67780541606045
M152_0.6	FXR1	1.14961525561339	0.602397602397602	1000	0.694153528590615
243_7543047	SFRS1	0	0.602397602397602	1000	0.694153528590615
949_10094314	SNRPA	0.874160344203268	0.626373626373626	1000	0.717032967032967
M235_0.6	RBM47	1.11508705430588	0.636363636363636	1000	0.723707664884135
M021_0.6	G3BP2	0.903144472030925	0.642357642357642	1000	0.7257807127937
790_10094314	SFRS7	0.813624626338367	0.666333666333666	1000	0.748013277045535
37_16537540	A2BP1	0.922949614323223	0.673326673326673	1000	0.751018212556674
663_1717938	SNRPA	1.07753063489265	0.74025974025974	1000	0.820415253536273
M032_0.6	IGF2BP2	1.04783089252279	0.755244755244755	1000	0.831725236788528
M111_0.6	CSDA, YB-1	0.926453864793999	0.76023976023976	1000	0.831960492337851
M020_0.6	FXR2	0.932524991037735	0.774225774225774	1000	0.834794834794835
M026_0.6	hnRNPK	1.06514456311645	0.777222777222777	1000	0.834794834794835
147_19457263	KHDRBS3	0.961305988559237	0.777222777222777	1000	0.834794834794835
662_1717938	SNRPA	1.06423418314798	0.787212787212787	1000	0.840337576533896
M140_0.6	ENOX1, ENOX2	0.943493417173968	0.799200799200799	1000	0.847932555249629
M144_0.6	PABPC1L, PABPC3	0.960123613213188	0.806193806193806	1000	0.850168013804377
M147_0.6	CNOT4	1.04658467821943	0.816183816183816	1000	0.855517975999904
M234_0.6	RBM47	0.95791603033102	0.875124875124875	1000	0.911806756118133
221_12324455	ZFP36	0.986871021052434	0.911088911088911	1000	0.943627800770658
M161_0.6	RBM6	0.97812568286185	0.919080919080919	1000	0.946272662248994
M054_0.6	RBM8A	0.932699621185869	0.968031968031968	1000	0.984341240155194
M062_0.6	SART3	1.00403925226807	0.969030969030969	1000	0.984341240155194
M146_0.6	PABPC1, PABPC1L, ENSG00000250177	1.00403925226807	0.973026973026973	1000	0.984341240155194
M046_0.6	QKI	0.993421090061541	0.982017982017982	1000	0.987694386538317
969_20167602	YTHDC1	1	1	0	1
