motif_id	motif_rbps	enrichment	p_value	n	adj_p_value
M021_0.6	G3BP2	1.18419200577966	0.244755244755245	1000	0.633223918938205
M232_0.6	ELAVL1, ELAVL3	0.881426141123464	0.245754245754246	1000	0.633223918938205
M159_0.6	A2BP1, RBFOX2, RBFOX3	0.820646007611605	0.250749250749251	1000	0.633223918938205
M024_0.6	HNRNPA2B1, HNRNPA3, ENSG00000215492	1.21044172219286	0.251748251748252	1000	0.633223918938205
M231_0.6	EIF2S1	0.820646007611605	0.254745254745255	1000	0.633223918938205
M017_0.6	RBFOX2, RBFOX3	0.820646007611605	0.261738261738262	1000	0.641443063978275
M081_0.6	CSDA, YB-1	0.799104245348504	0.280719280719281	1000	0.673874071134345
243_7543047	SFRS1	0	0.282717282717283	1000	0.673874071134345
M250_0.6	CSDA	0.818333925348852	0.295704295704296	1000	0.677113584090328
M334_0.6	SRSF4, SRSF6	1.27361919520048	0.2997002997003	1000	0.677113584090328
M254_0.6	CSDA	0.818333925348852	0.301698301698302	1000	0.677113584090328
782_8497264	ELAVL2	0.913155265566411	0.307692307692308	1000	0.677113584090328
M020_0.6	FXR2	0.803329913870894	0.315684315684316	1000	0.677113584090328
M120_0.6	CPEB3	0.895168629183116	0.31968031968032	1000	0.677113584090328
M074_0.6	TARDBP	0.83933963410866	0.321678321678322	1000	0.677113584090328
954_10094314	SFRS7	0.749471243700398	0.322677322677323	1000	0.677113584090328
M163_0.6	IGF2BP3	0.889551939071385	0.325674325674326	1000	0.677113584090328
M026_0.6	hnRNPK	1.16945952443428	0.330669330669331	1000	0.677113584090328
M050_0.6	RBM4B, RBM4, RBM4	0.314697452690659	0.331668331668332	1000	0.677113584090328
M209_0.6	RBM45	0.555307716299029	0.332667332667333	1000	0.677113584090328
M072_0.6	SRSF9	1.12781522912059	0.334665334665335	1000	0.677113584090328
M022_0.6	HNRNPA1, HNRNPA3, ENSG00000215492, ENSG00000231942	1.16765912278333	0.342657342657343	1000	0.677527018436109
M082_0.6	YBX2, CSDA	0.828135002912714	0.342657342657343	1000	0.677527018436109
M065_0.6	SRSF9	1.12219210772392	0.360639360639361	1000	0.705070210688188
M158_0.6	HNRNPCL1	0.917559234353474	0.373626373626374	1000	0.712309429700734
663_1717938	SNRPA	0.839516602253307	0.373626373626374	1000	0.712309429700734
M027_0.6	HNRNPL, ENSG00000215042	0.88058268668059	0.376623376623377	1000	0.712309429700734
M025_0.6	HNRNPC	0.917559234353474	0.383616383616384	1000	0.712687312687313
M156_0.6	TIA1	0.916994986851933	0.393606393606394	1000	0.712687312687313
M170_0.6	RBM38	0.914606646690815	0.398601398601399	1000	0.712687312687313
M012_0.6	CPEB3, CPEB2	0.916880526632879	0.401598401598402	1000	0.712687312687313
M149_0.6	CPEB3, CPEB4	0.916834906188075	0.403596403596404	1000	0.712687312687313
221_12324455	ZFP36	0.920537298326458	0.405594405594406	1000	0.712687312687313
M150_0.6	RALY	0.910440431027332	0.407592407592408	1000	0.712687312687313
M178_0.6	BRUNOL6, CELF3	0.903194334021898	0.40959040959041	1000	0.712687312687313
M068_0.6	SNRNP70	1.13740101332238	0.433566433566434	1000	0.746936232084747
M031_0.6	ELAVL1, ELAVL3	0.929704240516673	0.443556443556444	1000	0.756059474506076
M177_0.6	PCBP4, PCBP1, PCBP3	1.11594652121304	0.447552447552448	1000	0.756059474506076
M153_0.6	LIN28A, LIN28B	1.15514962038302	0.454545454545455	1000	0.760489510489511
M140_0.6	ENOX1, ENOX2	1.12137387409486	0.45954045954046	1000	0.761524190095619
M126_0.6	SRSF4, SRSF6	1.10168349680475	0.475524475524476	1000	0.778156423016236
M053_0.6	RBM5	0.909923396787966	0.478521478521479	1000	0.778156423016236
1174_19561594	KHDRBS3	0.9028255453114	0.502497502497502	1000	0.80957930957931
M105_0.6	SRSF1	1.08370233708402	0.516483516483517	1000	0.819045361418243
M228_0.6	PTBP1, PTBP2, ROD1	1.0595861118207	0.528471528471528	1000	0.819045361418243
M047_0.6	RBM28	1.10149291206103	0.531468531468531	1000	0.819045361418243
M207_0.6	PCBP4, PCBP3	1.08137778951316	0.535464535464535	1000	0.819045361418243
662_1717938	SNRPA	1.10939497607872	0.537462537462537	1000	0.819045361418243
949_10094314	SNRPA	0.877083275369733	0.54045954045954	1000	0.819045361418243
M071_0.6	SRSF7	1.44689832338548	0.546453546453546	1000	0.819045361418243
M157_0.6	CELF3, BRUNOL5	0.947019466817013	0.549450549450549	1000	0.819045361418243
M236_0.6	HNRNPR, SYNCRIP	0.928091547062531	0.552447552447552	1000	0.819045361418243
M148_0.6	PABPN1, PABPN1L	0.934700768623781	0.555444555444555	1000	0.819045361418243
M054_0.6	RBM8A	0.567162600130132	0.571428571428571	1000	0.835534213685474
M195_0.6	SF3B4	0.930265961241555	0.583416583416583	1000	0.845954045954046
950_7908267	PABPC1	0.853020218193185	0.596403596403596	1000	0.857638229539056
M075_0.6	TIA1	0.947868612198796	0.623376623376623	1000	0.875974419281506
M211_0.6	PCBP4, PCBP3	0.938010494516509	0.624375624375624	1000	0.875974419281506
M086_0.6	SRSF12, Fusip1, BX511012.1	1.06666266421745	0.633366633366633	1000	0.875974419281506
M070_0.6	SRSF2, ENSG00000180771	0.939279674456715	0.634365634365634	1000	0.875974419281506
M089_0.6	HNRNPL, ENSG00000215042	0.918843929390656	0.634365634365634	1000	0.875974419281506
791_10094314	SFRS2	1.07479133647459	0.639360639360639	1000	0.875974419281506
M077_0.6	U2AF2	0.953145633674208	0.648351648351648	1000	0.881073125347934
M143_0.6	RBMS2, RBMS1, ENSG00000213250	0.916072629321298	0.657342657342657	1000	0.881073125347934
1175_19561594	SNRPA	1.07607012699108	0.66033966033966	1000	0.881073125347934
M002_0.6	ANKHD1, ANKRD17, ENSG00000249536	1.14424319909674	0.663336663336663	1000	0.881073125347934
M023_0.6	HNRNPA1L2, HNRNPA3, ENSG00000215492, ENSG00000231942	1.07632554358899	0.669330669330669	1000	0.88210297165521
M154_0.6	SRSF1	1.06045108007525	0.677322677322677	1000	0.88210297165521
M104_0.6	SRSF1	1.05468658415855	0.679320679320679	1000	0.88210297165521
1004_8676391	NCL	1.07966014679495	0.709290709290709	1000	0.887112887112887
1213_8021254	ACO1	0.955627090793771	0.711288711288711	1000	0.887112887112887
M167_0.6	MSI1, MSI2	0.922706466663322	0.713286713286713	1000	0.887112887112887
M106_0.6	SRSF1	1.04506257504094	0.718281718281718	1000	0.887112887112887
351_8846295	EIF4B	0.90752456171466	0.719280719280719	1000	0.887112887112887
M040_0.6	MSI1, MSI2	0.922706466663322	0.723276723276723	1000	0.887112887112887
M083_0.6	ZC3H10	0.882914292556402	0.727272727272727	1000	0.887112887112887
947_10094314	SNRPA	0.944784287324001	0.731268731268731	1000	0.887112887112887
M162_0.6	PABPC5	0.957234067410625	0.732267732267732	1000	0.887112887112887
M016_0.6	FMR1	1.04490681561403	0.736263736263736	1000	0.887112887112887
M032_0.6	IGF2BP2	0.955758660131597	0.739260739260739	1000	0.887112887112887
M087_0.6	SRSF12, Fusip1, BX511012.1	1.03093976556095	0.774225774225774	1000	0.913761913761914
M043_0.6	PCBP4, PCBP3, PCBP2	0.962449157726614	0.776223776223776	1000	0.913761913761914
M036_0.6	MATR3	0.954543839481513	0.777222777222777	1000	0.913761913761914
M069_0.6	SNRPA, SNRPB2	0.959647745467334	0.794205794205794	1000	0.927461799945021
M013_0.6	DAZAP1	1.05138933190114	0.804195804195804	1000	0.932867132867133
M136_0.6	SNRPB2	0.966187731737947	0.817182817182817	1000	0.941177243808823
M049_0.6	RBM38	0.974886786918961	0.822177822177822	1000	0.941177243808823
M227_0.6	PTBP1, PTBP2, ROD1	1.017574279421	0.829170829170829	1000	0.942978590037414
M152_0.6	FXR1	0.960017204374926	0.841158841158841	1000	0.949875930521092
M145_0.6	RBM5	0.968771596124015	0.846153846153846	1000	0.949875930521092
M175_0.6	RBM24, RBM38	1.01944765503609	0.859140859140859	1000	0.958272496734035
946_10094314	SNRPA	0.973571831478514	0.87012987012987	1000	0.964347754156671
M144_0.6	PABPC1L, PABPC3	0.983307411682362	0.878121878121878	1000	0.965336550242211
680_9789075	NOVA2	1.02511256662076	0.882117882117882	1000	0.965336550242211
951_12324455	ZFP36	0.986046307649352	0.891108891108891	1000	0.969080919080919
M147_0.6	CNOT4	1.01581566462062	0.912087912087912	1000	0.976182354231135
M037_0.6	MBNL3, MBNL2, MBNL1	1.01679641357933	0.915084915084915	1000	0.976182354231135
M019_0.6	SRSF12, Fusip1, BX511012.1	0.987957544505344	0.916083916083916	1000	0.976182354231135
M118_0.6	RBFOX2, RBFOX3	1.01587928474841	0.92007992007992	1000	0.976182354231135
M242_0.6	HNRNPR, SYNCRIP	1.01258718980104	0.935064935064935	1000	0.986068476977568
M044_0.6	PPRC1	1.0487009296035	0.962037962037962	1000	1
661_1717938	SNRPA	0.99162370531051	0.963036963036963	1000	1
M048_0.6	CIRBP, RBM3	0.988093679756913	0.969030969030969	1000	1
M142_0.6	RBM42	1.00552731895581	0.98001998001998	1000	1
37_16537540	A2BP1	0.996149423637161	0.987012987012987	1000	1
M261_0.6	SF3B4	1.00094910208314	0.995004995004995	1000	1
359_12507992	IGF2BP1	1.00077002867537	0.998001998001998	1000	1
M151_0.6	HNRNPH2, HNRNPH1, HNRNPF	0.999283109131505	0.999000999000999	1000	1
969_20167602	YTHDC1	1	1	0	1
